"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 17 21:42:24 MSK 2023","Fri Mar 17 21:42:34 MSK 2023","10007","","site.nomoreparties.stellarburgers.tests.ui.ProfileTest","","site.nomoreparties.stellarburgers.tests.ui.ProfileTest","profileLinkFromProfile","Переход в профиль со страницы профиля",""
"passed","Fri Mar 17 21:42:03 MSK 2023","Fri Mar 17 21:42:13 MSK 2023","9949","","site.nomoreparties.stellarburgers.tests.ui.ProfileTest","","site.nomoreparties.stellarburgers.tests.ui.ProfileTest","profileLinkFromFeed","Переход в профиль из ленты заказов",""
"passed","Fri Mar 17 21:42:34 MSK 2023","Fri Mar 17 21:42:45 MSK 2023","10899","","site.nomoreparties.stellarburgers.tests.ui.RegistrationTest","","site.nomoreparties.stellarburgers.tests.ui.RegistrationTest","registration","Регистрация нового пользователя",""
"passed","Fri Mar 17 21:42:13 MSK 2023","Fri Mar 17 21:42:24 MSK 2023","11021","","site.nomoreparties.stellarburgers.tests.ui.ProfileTest","","site.nomoreparties.stellarburgers.tests.ui.ProfileTest","profileLinkFromMain","Переход в профиль с главной страницы",""
"passed","Fri Mar 17 21:41:44 MSK 2023","Fri Mar 17 21:41:53 MSK 2023","8696","","site.nomoreparties.stellarburgers.tests.ui.LoginTest","","site.nomoreparties.stellarburgers.tests.ui.LoginTest","recoveryPage","Со страницы восстановления пароля",""
"passed","Fri Mar 17 21:40:12 MSK 2023","Fri Mar 17 21:40:36 MSK 2023","24079","","site.nomoreparties.stellarburgers.tests.ui.ConstructorTest","","site.nomoreparties.stellarburgers.tests.ui.ConstructorTest","saucesTab","Вкладка 'Соусы'",""
"passed","Fri Mar 17 21:41:35 MSK 2023","Fri Mar 17 21:41:44 MSK 2023","9340","","site.nomoreparties.stellarburgers.tests.ui.LoginTest","","site.nomoreparties.stellarburgers.tests.ui.LoginTest","mainPageButton","По кнопке на главной старнице",""
"passed","Fri Mar 17 21:41:16 MSK 2023","Fri Mar 17 21:41:24 MSK 2023","8279","","site.nomoreparties.stellarburgers.tests.ui.LoginTest","","site.nomoreparties.stellarburgers.tests.ui.LoginTest","registrationPage","Регистрация и авторизация нового пользователя",""
"passed","Fri Mar 17 21:41:07 MSK 2023","Fri Mar 17 21:41:16 MSK 2023","8559","","site.nomoreparties.stellarburgers.tests.ui.LinksToConstructorTest","","site.nomoreparties.stellarburgers.tests.ui.LinksToConstructorTest","logoToConstructorFromAccountPage","Переход по нажатию на логотип приложения",""
"passed","Fri Mar 17 21:40:36 MSK 2023","Fri Mar 17 21:40:47 MSK 2023","10835","","site.nomoreparties.stellarburgers.tests.ui.ConstructorTest","","site.nomoreparties.stellarburgers.tests.ui.ConstructorTest","bunsTab","Вкладка 'Булки'",""
"passed","Fri Mar 17 21:42:45 MSK 2023","Fri Mar 17 21:42:52 MSK 2023","7738","","site.nomoreparties.stellarburgers.tests.ui.RegistrationTest","","site.nomoreparties.stellarburgers.tests.ui.RegistrationTest","invalidPassword","Обязательное поле: пароль; некорректное значение",""
"passed","Fri Mar 17 21:40:47 MSK 2023","Fri Mar 17 21:40:56 MSK 2023","9011","","site.nomoreparties.stellarburgers.tests.ui.ConstructorTest","","site.nomoreparties.stellarburgers.tests.ui.ConstructorTest","fillingsTab","Вкладка 'Начинки'",""
"passed","Fri Mar 17 21:40:56 MSK 2023","Fri Mar 17 21:41:07 MSK 2023","10790","","site.nomoreparties.stellarburgers.tests.ui.LinksToConstructorTest","","site.nomoreparties.stellarburgers.tests.ui.LinksToConstructorTest","constructorLinkFromAccountPage","Переход со страницы профиля",""
"passed","Fri Mar 17 21:41:53 MSK 2023","Fri Mar 17 21:42:03 MSK 2023","9873","","site.nomoreparties.stellarburgers.tests.ui.LogoutTest","","site.nomoreparties.stellarburgers.tests.ui.LogoutTest","logout","Выход со страницы профиля",""
"passed","Fri Mar 17 21:42:52 MSK 2023","Fri Mar 17 21:43:02 MSK 2023","9985","","site.nomoreparties.stellarburgers.tests.ui.RegistrationTest","","site.nomoreparties.stellarburgers.tests.ui.RegistrationTest","validPassword","Обязательное поле: пароль; корректное значение",""
"passed","Fri Mar 17 21:41:24 MSK 2023","Fri Mar 17 21:41:35 MSK 2023","10823","","site.nomoreparties.stellarburgers.tests.ui.LoginTest","","site.nomoreparties.stellarburgers.tests.ui.LoginTest","accountLink","По ссылке в 'Личный кабинет'",""
